Code,Date,Open,High,Low,Close,Volume,Value,Trades
SBR,28/05/2012,0.000,0.000,0.000,0.125,0,0.000,0
SBR,29/05/2012,0.000,0.000,0.000,0.125,0,0.000,0
SBR,30/05/2012,0.000,0.000,0.000,0.125,0,0.000,0
SBR,31/05/2012,0.000,0.000,0.000,0.125,0,0.000,0
SBR,01/06/2012,0.135,0.135,0.135,0.135,9000,1215.000,1
SBR,04/06/2012,0.000,0.000,0.000,0.135,0,0.000,0
SBR,05/06/2012,0.000,0.000,0.000,0.135,0,0.000,0
SBR,06/06/2012,0.000,0.000,0.000,0.135,0,0.000,0
SBR,07/06/2012,0.000,0.000,0.000,0.135,0,0.000,0
SBR,08/06/2012,0.000,0.000,0.000,0.135,0,0.000,0
SBR,12/06/2012,0.000,0.000,0.000,0.135,0,0.000,0
SBR,13/06/2012,0.000,0.000,0.000,0.135,35000,3850.000,1
SBR,14/06/2012,0.110,0.125,0.110,0.125,22800,2638.000,5
SBR,15/06/2012,0.115,0.115,0.110,0.110,40000,4425.000,2
SBR,18/06/2012,0.120,0.120,0.120,0.120,11500,1380.000,2
SBR,19/06/2012,0.000,0.000,0.000,0.120,0,0.000,0
SBR,20/06/2012,0.120,0.125,0.120,0.125,30000,3742.500,2
SBR,21/06/2012,0.000,0.000,0.000,0.125,0,0.000,0
SBR,22/06/2012,0.110,0.110,0.110,0.110,110000,12100.000,3
SBR,25/06/2012,0.000,0.000,0.000,0.110,0,0.000,0
SBR,26/06/2012,0.105,0.105,0.105,0.105,20000,2100.000,1
SBR,27/06/2012,0.110,0.120,0.110,0.120,52200,5784.000,3
SBR,28/06/2012,0.120,0.120,0.110,0.110,56000,6326.660,4
SBR,29/06/2012,0.110,0.110,0.110,0.110,50000,5500.000,1
SBR,02/07/2012,0.115,0.115,0.115,0.115,150000,17250.000,4
SBR,03/07/2012,0.000,0.000,0.000,0.115,0,0.000,0
SBR,04/07/2012,0.115,0.115,0.115,0.115,300,34.500,1
SBR,05/07/2012,0.115,0.115,0.115,0.115,1000,115.000,2
SBR,06/07/2012,0.120,0.120,0.120,0.120,9366,1123.920,1
SBR,09/07/2012,0.000,0.000,0.000,0.120,0,0.000,0
SBR,10/07/2012,0.000,0.000,0.000,0.120,0,0.000,0
SBR,11/07/2012,0.000,0.000,0.000,0.120,0,0.000,0
SBR,12/07/2012,0.105,0.105,0.105,0.105,423,44.415,1
SBR,13/07/2012,0.105,0.110,0.100,0.100,580000,58597.885,6
SBR,16/07/2012,0.120,0.120,0.120,0.120,5100,612.000,1
SBR,17/07/2012,0.000,0.000,0.000,0.120,0,0.000,0
SBR,18/07/2012,0.000,0.000,0.000,0.120,0,0.000,0
SBR,19/07/2012,0.000,0.000,0.000,0.120,0,0.000,0
SBR,20/07/2012,0.000,0.000,0.000,0.120,0,0.000,0
SBR,23/07/2012,0.000,0.000,0.000,0.120,0,0.000,0
SBR,24/07/2012,0.105,0.105,0.105,0.105,10000,1050.000,1
SBR,25/07/2012,0.100,0.100,0.100,0.100,20000,2000.000,2
SBR,26/07/2012,0.100,0.100,0.100,0.100,17000,1700.000,1
SBR,27/07/2012,0.000,0.000,0.000,0.100,0,0.000,0
SBR,30/07/2012,0.000,0.000,0.000,0.100,0,0.000,0
SBR,31/07/2012,0.000,0.000,0.000,0.100,0,0.000,0
SBR,01/08/2012,0.096,0.096,0.095,0.095,80000,7614.000,3
SBR,02/08/2012,0.000,0.000,0.000,0.095,0,0.000,0
SBR,03/08/2012,0.095,0.095,0.087,0.087,47600,4249.200,5
SBR,06/08/2012,0.000,0.000,0.000,0.087,0,0.000,0
SBR,07/08/2012,0.000,0.000,0.000,0.087,0,0.000,0
SBR,08/08/2012,0.105,0.105,0.100,0.100,100000,10075.000,3
SBR,09/08/2012,0.100,0.100,0.100,0.100,121500,12150.000,2
SBR,10/08/2012,0.000,0.000,0.000,0.100,0,0.000,0
SBR,13/08/2012,0.110,0.110,0.100,0.100,25500,2755.000,5
SBR,14/08/2012,0.110,0.360,0.105,0.360,30840365,9202450.585,2260
SBR,15/08/2012,0.340,0.355,0.270,0.270,19311891,6166864.495,1224
SBR,16/08/2012,0.265,0.365,0.260,0.320,22906459,7470033.510,1266
SBR,17/08/2012,0.335,0.360,0.310,0.320,12221058,4172362.825,661
SBR,20/08/2012,0.000,0.000,0.000,0.320,0,0.000,0
SBR,21/08/2012,0.000,0.000,0.000,0.320,0,0.000,0
SBR,22/08/2012,0.310,0.365,0.310,0.340,9039279,3155398.880,535
SBR,23/08/2012,0.340,0.345,0.320,0.320,2474094,826486.095,146
SBR,24/08/2012,0.325,0.345,0.315,0.325,2507372,837278.430,167
SBR,27/08/2012,0.325,0.325,0.295,0.295,4125489,1271171.555,258
SBR,28/08/2012,0.295,0.295,0.275,0.275,4373586,1239810.875,225
SBR,29/08/2012,0.275,0.305,0.275,0.280,15560835,4222253.335,389
SBR,30/08/2012,0.285,0.285,0.260,0.265,5633949,1545136.350,350
SBR,31/08/2012,0.270,0.290,0.180,0.210,13453877,3087614.265,736
SBR,03/09/2012,0.220,0.220,0.185,0.200,3719967,779290.490,177
SBR,04/09/2012,0.205,0.240,0.200,0.220,5006976,1114334.035,287
SBR,05/09/2012,0.225,0.235,0.205,0.205,859613,184785.095,76
SBR,06/09/2012,0.215,0.235,0.210,0.235,3187879,722954.775,175
SBR,07/09/2012,0.245,0.255,0.235,0.250,2951250,723258.910,155
SBR,10/09/2012,0.255,0.285,0.235,0.235,9939304,2599620.250,510
SBR,11/09/2012,0.240,0.240,0.215,0.220,2388185,535010.525,115
SBR,12/09/2012,0.220,0.235,0.215,0.230,1827024,408097.300,91
SBR,13/09/2012,0.230,0.230,0.220,0.225,830231,188188.755,43
SBR,14/09/2012,0.235,0.250,0.230,0.230,1265591,303239.685,60
SBR,17/09/2012,0.235,0.240,0.230,0.240,1006502,237780.195,47
SBR,18/09/2012,0.240,0.245,0.230,0.230,857715,200252.100,58
SBR,19/09/2012,0.230,0.230,0.220,0.220,612282,137678.295,37
SBR,20/09/2012,0.225,0.230,0.215,0.215,860292,191446.020,47
SBR,21/09/2012,0.225,0.225,0.215,0.215,711064,153636.440,43
SBR,24/09/2012,0.220,0.220,0.210,0.210,560018,119319.810,36
SBR,25/09/2012,0.215,0.215,0.200,0.200,955285,196670.610,59
SBR,26/09/2012,0.200,0.200,0.160,0.165,3030742,530868.070,145
SBR,27/09/2012,0.165,0.170,0.160,0.160,1554143,253401.645,69
SBR,28/09/2012,0.165,0.180,0.165,0.175,942599,166931.005,44
SBR,01/10/2012,0.180,0.190,0.180,0.190,756763,139882.370,40
SBR,02/10/2012,0.185,0.195,0.180,0.185,1025172,191530.120,51
SBR,03/10/2012,0.195,0.200,0.185,0.185,906024,179626.725,69
SBR,04/10/2012,0.195,0.195,0.185,0.185,493613,93132.470,29
SBR,05/10/2012,0.200,0.220,0.200,0.215,2245490,476072.455,111
SBR,08/10/2012,0.225,0.240,0.225,0.230,3952483,918776.305,331
SBR,09/10/2012,0.240,0.240,0.225,0.230,1684504,390221.155,84
SBR,10/10/2012,0.225,0.230,0.220,0.220,464548,103154.380,30
SBR,11/10/2012,0.215,0.220,0.195,0.195,1238523,254121.395,58
SBR,12/10/2012,0.200,0.215,0.200,0.200,715803,147117.265,44
SBR,15/10/2012,0.200,0.200,0.195,0.200,536367,105908.415,21
SBR,16/10/2012,0.200,0.205,0.185,0.185,1952531,374325.075,43
SBR,17/10/2012,0.185,0.190,0.180,0.190,506326,94253.485,30
SBR,18/10/2012,0.190,0.195,0.185,0.190,401704,75373.405,26
SBR,19/10/2012,0.190,0.220,0.190,0.210,1233383,245601.520,65
SBR,22/10/2012,0.195,0.215,0.195,0.200,882820,179991.160,50
SBR,23/10/2012,0.200,0.210,0.195,0.195,648552,129841.525,28
SBR,24/10/2012,0.190,0.200,0.180,0.185,1170403,221113.765,46
SBR,25/10/2012,0.190,0.190,0.185,0.190,569623,107802.755,24
SBR,26/10/2012,0.190,0.190,0.185,0.185,160273,30424.370,11
SBR,29/10/2012,0.190,0.200,0.190,0.200,640273,126156.590,37
SBR,30/10/2012,0.205,0.205,0.190,0.190,507412,100699.625,30
SBR,31/10/2012,0.195,0.205,0.195,0.200,854763,170070.275,48
SBR,01/11/2012,0.200,0.205,0.200,0.200,189735,38235.630,22
SBR,02/11/2012,0.200,0.210,0.200,0.205,525000,105816.250,16
SBR,05/11/2012,0.205,0.210,0.200,0.210,360850,73574.420,31
SBR,06/11/2012,0.205,0.205,0.200,0.200,117820,23889.000,10
SBR,07/11/2012,0.205,0.205,0.200,0.205,210638,42930.790,15
SBR,08/11/2012,0.200,0.200,0.190,0.200,209089,40534.550,14
SBR,09/11/2012,0.190,0.200,0.190,0.190,854011,162912.090,23
SBR,12/11/2012,0.190,0.200,0.190,0.200,250154,48935.525,20
SBR,13/11/2012,0.200,0.200,0.190,0.190,114398,22192.610,12
SBR,14/11/2012,0.195,0.195,0.190,0.190,120330,23239.350,8
SBR,15/11/2012,0.195,0.195,0.190,0.190,290858,55924.810,23
SBR,16/11/2012,0.195,0.195,0.180,0.180,681730,127152.790,38
SBR,19/11/2012,0.185,0.185,0.180,0.180,146218,26868.830,11
SBR,20/11/2012,0.180,0.180,0.180,0.180,107287,19311.660,8
SBR,21/11/2012,0.185,0.190,0.185,0.190,364123,68080.385,24
SBR,22/11/2012,0.190,0.190,0.180,0.180,114477,21300.630,9
SBR,23/11/2012,0.180,0.190,0.180,0.185,77478,14228.430,9
SBR,26/11/2012,0.190,0.190,0.180,0.180,265484,48432.025,17
SBR,27/11/2012,0.180,0.180,0.175,0.175,523222,91959.400,14
SBR,28/11/2012,0.180,0.180,0.175,0.175,69000,12390.000,7
SBR,29/11/2012,0.180,0.180,0.175,0.175,49500,8697.500,3
SBR,30/11/2012,0.180,0.180,0.170,0.170,85958,15156.370,12
SBR,03/12/2012,0.180,0.185,0.170,0.170,236914,41938.520,15
SBR,04/12/2012,0.175,0.180,0.170,0.175,283250,48598.750,8
SBR,05/12/2012,0.170,0.175,0.170,0.170,135447,23082.490,9
SBR,06/12/2012,0.165,0.170,0.165,0.170,114213,19246.210,6
SBR,07/12/2012,0.165,0.165,0.165,0.165,200000,33000.000,6
SBR,10/12/2012,0.165,0.170,0.160,0.165,208311,34312.050,7
SBR,11/12/2012,0.165,0.165,0.125,0.125,1144637,167515.560,54
SBR,12/12/2012,0.150,0.150,0.120,0.120,3319828,432671.960,113
SBR,13/12/2012,0.130,0.130,0.125,0.125,1541043,194090.375,35
SBR,14/12/2012,0.130,0.130,0.125,0.125,192845,24819.850,11
SBR,17/12/2012,0.130,0.135,0.130,0.135,868438,115844.845,34
SBR,18/12/2012,0.135,0.140,0.130,0.140,284920,39016.655,14
SBR,19/12/2012,0.145,0.175,0.145,0.165,1347933,216661.885,83
SBR,20/12/2012,0.160,0.165,0.155,0.160,405381,65328.740,33
SBR,21/12/2012,0.165,0.165,0.160,0.160,128013,21050.830,12
SBR,24/12/2012,0.165,0.165,0.160,0.160,585304,93888.820,16
SBR,27/12/2012,0.165,0.185,0.165,0.180,566750,101171.260,43
SBR,28/12/2012,0.185,0.195,0.185,0.185,536197,101195.075,37
SBR,31/12/2012,0.190,0.195,0.185,0.185,198934,37755.515,18
SBR,02/01/2013,0.185,0.185,0.175,0.175,187982,33671.160,12
SBR,03/01/2013,0.170,0.180,0.170,0.180,155819,26973.075,7
SBR,04/01/2013,0.185,0.185,0.175,0.175,65500,11862.500,7
SBR,07/01/2013,0.175,0.175,0.175,0.175,148459,25980.325,11
SBR,08/01/2013,0.170,0.180,0.170,0.170,398855,68146.350,9
SBR,09/01/2013,0.175,0.180,0.175,0.180,173761,30556.865,8
SBR,10/01/2013,0.180,0.180,0.170,0.170,346387,59467.500,19
SBR,11/01/2013,0.175,0.185,0.175,0.180,205150,36553.030,7
SBR,14/01/2013,0.180,0.185,0.175,0.185,363245,65233.455,17
SBR,15/01/2013,0.185,0.185,0.170,0.175,153255,27361.010,9
SBR,16/01/2013,0.175,0.175,0.155,0.155,476879,78233.410,25
SBR,17/01/2013,0.160,0.175,0.160,0.165,190175,31813.370,10
