Code,Date,Open,High,Low,Close,Volume,Value,Trades
SE1,13/06/2019,0.110,0.110,0.110,0.110,100422,11046.420,3
SE1,14/06/2019,0.110,0.110,0.105,0.110,535563,58696.130,6
SE1,17/06/2019,0.105,0.105,0.105,0.105,270718,28425.390,8
SE1,18/06/2019,0.105,0.110,0.105,0.110,314395,34433.450,7
SE1,19/06/2019,0.110,0.110,0.105,0.110,380820,41111.100,8
SE1,20/06/2019,0.110,0.115,0.110,0.110,826698,91036.780,17
SE1,21/06/2019,0.110,0.110,0.105,0.105,211654,22850.170,28
SE1,24/06/2019,0.110,0.110,0.110,0.110,315073,34658.030,6
SE1,25/06/2019,0.105,0.105,0.100,0.100,1408855,147556.290,24
SE1,26/06/2019,0.105,0.110,0.105,0.110,1024061,112366.710,27
SE1,27/06/2019,0.110,0.120,0.110,0.115,541616,63032.635,21
SE1,28/06/2019,0.120,0.120,0.115,0.120,855051,99893.050,19
SE1,01/07/2019,0.120,0.125,0.120,0.120,756751,90820.120,14
SE1,02/07/2019,0.110,0.115,0.110,0.115,290931,32502.410,12
SE1,03/07/2019,0.115,0.115,0.110,0.110,599385,67929.275,5
SE1,04/07/2019,0.110,0.110,0.110,0.110,657961,72375.710,10
SE1,05/07/2019,0.105,0.105,0.100,0.100,1186111,121790.420,23
SE1,08/07/2019,0.105,0.105,0.105,0.105,427472,44884.560,10
SE1,09/07/2019,0.100,0.100,0.100,0.100,304991,30499.100,9
SE1,10/07/2019,0.105,0.105,0.105,0.105,111095,11664.975,5
SE1,11/07/2019,0.105,0.105,0.105,0.105,187428,19679.940,5
SE1,12/07/2019,0.105,0.105,0.100,0.105,285033,29465.835,13
SE1,15/07/2019,0.105,0.105,0.105,0.105,4866,510.930,1
SE1,16/07/2019,0.110,0.110,0.110,0.110,50000,5500.000,3
SE1,17/07/2019,0.110,0.110,0.110,0.110,15000,1650.000,3
SE1,18/07/2019,0.110,0.115,0.110,0.110,320000,35325.000,8
SE1,19/07/2019,0.110,0.110,0.105,0.105,381701,40937.130,10
SE1,22/07/2019,0.105,0.105,0.105,0.105,119774,12576.270,5
SE1,23/07/2019,0.105,0.115,0.105,0.115,1897717,209294.625,26
SE1,24/07/2019,0.115,0.115,0.110,0.110,231873,25611.030,12
SE1,25/07/2019,0.105,0.105,0.105,0.105,832554,87418.170,19
SE1,26/07/2019,0.105,0.105,0.100,0.100,2019483,204516.925,41
SE1,29/07/2019,0.105,0.105,0.100,0.100,545200,55220.000,12
SE1,30/07/2019,0.105,0.105,0.105,0.105,98003,10290.315,6
SE1,31/07/2019,0.105,0.105,0.099,0.100,855426,85423.235,25
SE1,01/08/2019,0.100,0.105,0.100,0.100,704747,70839.700,14
SE1,02/08/2019,0.100,0.105,0.099,0.105,436493,44203.010,13
SE1,05/08/2019,0.105,0.105,0.100,0.100,317926,32674.544,10
SE1,06/08/2019,0.100,0.100,0.096,0.098,1032277,101208.839,27
SE1,07/08/2019,0.100,0.100,0.099,0.099,106597,10606.679,10
SE1,08/08/2019,0.097,0.099,0.097,0.099,119840,11636.480,4
SE1,09/08/2019,0.099,0.099,0.098,0.099,252452,24961.749,10
SE1,12/08/2019,0.097,0.099,0.097,0.098,520882,50997.318,8
SE1,13/08/2019,0.099,0.099,0.098,0.098,236618,23328.564,5
SE1,14/08/2019,0.098,0.098,0.097,0.098,233507,22822.666,11
SE1,15/08/2019,0.097,0.098,0.096,0.096,988140,95236.242,19
SE1,16/08/2019,0.096,0.098,0.095,0.098,771839,73724.076,11
SE1,19/08/2019,0.098,0.098,0.095,0.095,22521,2172.495,4
SE1,20/08/2019,0.094,0.095,0.092,0.095,196500,18227.500,6
SE1,21/08/2019,0.095,0.096,0.094,0.095,403425,38440.530,9
SE1,22/08/2019,0.000,0.000,0.000,0.095,0,0.000,0
SE1,23/08/2019,0.095,0.095,0.095,0.095,106500,10117.500,2
SE1,26/08/2019,0.095,0.095,0.091,0.091,346548,31957.130,9
SE1,27/08/2019,0.092,0.098,0.091,0.098,103195,9546.227,8
SE1,28/08/2019,0.099,0.099,0.096,0.097,299157,28927.898,7
SE1,29/08/2019,0.099,0.099,0.095,0.097,253089,24480.957,11
SE1,30/08/2019,0.097,0.097,0.092,0.094,497091,46958.611,17
SE1,02/09/2019,0.094,0.096,0.094,0.096,63450,6026.200,4
SE1,03/09/2019,0.094,0.094,0.089,0.089,392844,35330.346,16
SE1,04/09/2019,0.089,0.089,0.078,0.086,333530,27496.000,22
SE1,05/09/2019,0.080,0.088,0.080,0.085,91955,7856.400,4
SE1,06/09/2019,0.081,0.082,0.081,0.082,322718,26260.158,8
SE1,09/09/2019,0.080,0.080,0.078,0.078,205739,16238.798,11
SE1,10/09/2019,0.078,0.083,0.078,0.083,170254,13454.807,7
SE1,11/09/2019,0.090,0.095,0.089,0.089,1002650,90950.585,22
SE1,12/09/2019,0.095,0.096,0.093,0.094,327695,30865.847,11
SE1,13/09/2019,0.094,0.096,0.093,0.095,144681,13707.001,13
SE1,16/09/2019,0.000,0.000,0.000,0.095,0,0.000,0
SE1,17/09/2019,0.095,0.096,0.095,0.096,414794,39540.802,14
SE1,18/09/2019,0.095,0.095,0.095,0.095,185058,17580.510,13
SE1,19/09/2019,0.000,0.000,0.000,0.095,0,0.000,0
SE1,20/09/2019,0.095,0.105,0.095,0.099,415541,40298.584,19
SE1,23/09/2019,0.099,0.100,0.099,0.100,98899,9840.740,10
SE1,24/09/2019,0.100,0.105,0.099,0.099,220018,21986.605,22
SE1,25/09/2019,0.099,0.105,0.090,0.090,569472,52969.215,20
SE1,26/09/2019,0.094,0.100,0.087,0.090,392390,36295.635,24
SE1,27/09/2019,0.090,0.097,0.090,0.096,52741,4795.281,3
SE1,30/09/2019,0.000,0.000,0.000,0.096,0,0.000,0
SE1,01/10/2019,0.000,0.000,0.000,0.096,0,0.000,0
SE1,02/10/2019,0.091,0.091,0.080,0.082,1233303,101599.804,47
SE1,03/10/2019,0.081,0.082,0.073,0.074,2008757,154989.726,60
SE1,04/10/2019,0.077,0.085,0.077,0.082,1203927,96777.939,51
SE1,07/10/2019,0.080,0.080,0.080,0.080,110008,8800.640,3
SE1,08/10/2019,0.078,0.082,0.077,0.079,1523395,119746.256,25
SE1,09/10/2019,0.077,0.077,0.075,0.076,656951,50106.991,15
SE1,10/10/2019,0.076,0.080,0.076,0.076,425566,32683.016,8
SE1,11/10/2019,0.077,0.078,0.077,0.078,182729,14160.962,5
SE1,14/10/2019,0.078,0.080,0.077,0.079,490060,38726.245,13
SE1,15/10/2019,0.077,0.080,0.077,0.077,505232,39407.864,12
SE1,16/10/2019,0.078,0.079,0.078,0.079,200000,15677.140,3
SE1,17/10/2019,0.077,0.077,0.074,0.074,1634973,123649.118,28
SE1,18/10/2019,0.074,0.074,0.073,0.074,723154,53438.811,16
SE1,21/10/2019,0.073,0.074,0.071,0.074,827134,60809.432,14
SE1,22/10/2019,0.073,0.077,0.073,0.077,193735,14242.655,7
SE1,23/10/2019,0.073,0.073,0.069,0.069,650214,45836.476,15
SE1,24/10/2019,0.070,0.072,0.064,0.065,1383409,92601.853,27
SE1,25/10/2019,0.067,0.069,0.066,0.066,875343,59551.005,10
SE1,28/10/2019,0.067,0.071,0.066,0.070,936003,62856.018,22
SE1,29/10/2019,0.000,0.000,0.000,0.070,0,0.000,0
SE1,30/10/2019,0.066,0.068,0.065,0.068,74781,4933.701,8
SE1,31/10/2019,0.069,0.069,0.061,0.061,2173930,137817.997,32
SE1,01/11/2019,0.063,0.065,0.061,0.061,972515,61178.832,22
SE1,04/11/2019,0.062,0.062,0.061,0.061,298712,18370.254,10
SE1,05/11/2019,0.061,0.064,0.061,0.064,243065,14890.030,7
SE1,06/11/2019,0.065,0.069,0.065,0.069,277106,18472.890,8
SE1,07/11/2019,0.070,0.070,0.068,0.068,277000,18840.000,4
